N,P,K,pH,rainfall,label
90,40,40,6.5,1200,Rice
100,60,45,6.8,1100,Sugarcane
80,30,30,5.8,1000,Ragi
110,50,40,6.2,950,Maize
95,55,50,6.7,1050,Banana
70,30,20,5.5,850,Groundnut
85,40,35,6.0,920,Ragi
120,65,60,6.9,1150,Corn
100,50,55,6.5,1080,Sugarcane
88,36,38,5.9,990,Maize
92,45,40,6.4,980,Rice
105,55,50,6.7,1120,Sugarcane
75,25,30,5.7,870,Groundnut
82,34,29,5.6,890,Ragi
115,60,45,6.6,1100,Corn
90,38,35,6.2,1000,Banana
98,47,42,6.5,1020,Rice
89,40,33,5.9,960,Ragi
105,58,50,6.8,1130,Maize
112,60,55,6.9,1170,Sugarcane
